StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q_TotalDuration
4/18/19 8:28,4/18/19 8:52,IP Address,,100,1457,TRUE,4/18/19 8:52,R_1oArSRrfLJOIYyi,,,,,,,anonymous,EN,P2,5,1,7,8,3,1,6,1,6,3,5,6,2,1,2,4,3,1,3,2,8,7,6,8,7,2,3,4,5,2,6,8,5,6,3,8,1457
4/18/19 8:28,4/18/19 8:53,IP Address,,100,1492,TRUE,4/18/19 8:53,R_9BUwbMqqEmgLSIp,,,,,,,anonymous,EN,,5,1,7,4,3,1,2,1,8,4,5,6,5,1,8,4,6,7,3,2,8,7,5,3,7,8,3,5,7,5,4,3,3,1,1,1,1492
4/18/19 10:45,4/18/19 11:10,IP Address,,100,1508,TRUE,4/18/19 11:10,R_1LeAps6MEYcGLnT,,,,,,,anonymous,EN,p4,4,1,7,4,3,1,6,1,8,4,5,6,2,1,1,5,3,1,3,2,8,8,3,7,7,6,4,4,,,,,,,,,1508
4/23/19 13:18,4/23/19 13:38,IP Address,,100,1207,TRUE,4/23/19 13:38,R_26c2VpRruPu2fle,,,,,,,anonymous,EN,p6,5,1,7,1,3,1,6,3,7,4,5,6,5,4,4,4,3,7,3,3,4,8,8,8,8,3,1,7,1,2,5,7,8,3,1,1,1207
4/23/19 13:23,4/23/19 13:48,IP Address,,100,1528,TRUE,4/23/19 13:48,R_10Uip5KM3PjpNey,,,,,,,anonymous,EN,p5,5,1,7,4,3,1,2,1,8,4,5,1,6,1,8,4,6,7,8,8,8,8,6,1,2,7,3,2,7,5,7,4,8,6,4,6,1528
4/23/19 12:58,4/23/19 12:58,IP Address,,5,18,FALSE,4/23/19 16:58,R_UZ6LG7SQdX8U46Z,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
4/23/19 13:39,4/23/19 13:39,IP Address,,5,15,FALSE,4/23/19 17:39,R_2ASZ9gBsLZzQarH,,,,,,,anonymous,EN,p6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
4/23/19 13:38,4/23/19 13:39,Spam,,5,36,FALSE,4/23/19 17:39,R_2XogE7D6DAr7rEt,,,,,,,anonymous,EN,p6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
4/25/19 8:35,4/25/19 8:45,IP Address,,100,608,TRUE,4/25/19 8:45,R_3dPWGC730vWetrz,,,,,,,anonymous,EN,P7,2,1,1,4,3,1,2,1,8,8,1,5,3,7,4,1,4,2,3,8,4,7,4,2,5,8,2,3,6,6,5,2,4,3,4,6,608
4/26/19 10:50,4/26/19 11:08,IP Address,,100,1068,TRUE,4/26/19 11:08,R_1kTAr9YEPof2lU1,,,,,,,anonymous,EN,P8,5,1,8,4,3,1,2,1,8,7,5,6,1,1,2,5,6,1,8,3,8,4,2,1,8,5,6,4,5,4,2,4,7,3,4,8,1068
4/26/19 10:50,4/26/19 11:12,IP Address,,100,1350,TRUE,4/26/19 11:12,R_puv9OKrX9bH1GvL,,,,,,,anonymous,EN,P9,5,1,7,2,3,1,6,1,1,3,1,5,6,1,8,5,2,6,5,8,4,8,6,1,5,8,4,6,4,5,3,8,1,4,1,6,1350
